asin,Name,Price,Avg Rating,# of Ratings
B018MGKXQY,"YUM Dinger Classic Worm All-Purpose Soft Plastic Bass Fishing Lure, 8 Count - Great Texas Rigged, Wacky Style, Carolina Rigged, Pitched, Etc.",3.49,4.7,3293
B07W614F4T,"Dr.Fish 6 Pack Soft Baits, 3.15 Inch Staight Tail Swimbaits for Bass Fishing, Minnow Lures Shad Bait Soft Jerkbait Swim Shad Fluke Bait",7.99,4.2,160
B086TNYTF3,"YUM Dinger Classic Worm All-Purpose Soft Plastic Bass Fishing Lure 100 Pack, 5 Inch",27.99,4.7,448
B0000C6E0N,Zoom Bait Brush Hog Bait-Pack of 8,3.58,4.6,1024
B0BK45ZVL6,"CWSDXM Soft Fishing Lures, 6.5cm/8cm Paddle Tail Swimbaits Soft Plastic Lures Kit for Bass Trout Walleye Crappie 30pcs/40pcs",13.99,5.0,1
B08K8MBK2D,"PLUSINNO Wacky Worm Fishing Lure Kit, Soft Plastic Fishing Lures, Grub Baits Hook Wacky Rig Bass Trout Fishing Worms Lures w/ Tackle Box",24.99,4.5,538
B08D6C422S,QualyQualy Soft Plastic Swimbait Paddle Tail Shad Lure Soft Bass Shad Bait Shad Minnow Paddle Tail Swim Bait for Bass Trout Walleye Crappie 2.75in 3.14in 3.94in 5in,6.99,4.3,1144
B01N6BGJ9K,YUM Wooly Bug Creature Bait Soft Plastic Bass Fishing Lure,3.49,4.5,251
B004BLATRS,Zoom Bait Swimmin Super Fluke Bait-Pack of 5,3.86,4.5,1010
B0BLH7WF1J,"Gefischtter Senko Worms Fishing Soft Plastic Bait Bass Fishing Lures,Crawfish Lure Soft Plastic Worms Fishing Lure Wacky Rig Carolina Rigged Texas Rigged Soft Lures Kit",11.99,4.4,22
B00EO96E12,Berkley PowerBait Fishing Soft Bait,5.99,4.6,1467
B08BBY4RYD,"SundayPro 100PCS Soft Fishing Lures for Bass, Soft Paddle Tail Fishing Swimbaits Lures, Fishing Baits Kit with Box for Fishing Trout Redfish Freshwater Saltwater",13.99,4.1,326
B07SPKXG64,"RUNCL Swimbaits Paddle 10/20/30/40PCS, 2/3/4/5 Inchs Paddle Tail Soft Plastic Bass Lure Baits, ProBite Swimmer, Plastic Bait for Saltwater/Freshwater Fishing",15.33,4.4,1465
B098L935LW,Funzhan Fishing Soft Lures for Bass Artificial Plastic Baits Paddle Tail Swimbaits Creature Shad Proven Colors Natural Oils Portable Box for Crappie Saltwater Freshwater,7.69,3.9,117
B09NMB73T6,"Avlcoaky Paddle Tail Swimbaits Soft Plastic Fishing Lures, 3.54in Swim Baits Bass Lures, 24 Pack - 12 Colors",7.99,4.1,182
B092VHPNP8,"TRUSCEND Pre-Rigged Jig Head Soft Fishing Lures, Paddle Tail Swimbaits for Bass Fishing, Shad or Tadpole Lure with Spinner, Premium Fishing Bait for Saltwater Freshwater, Trout Crappie Fishing",12.99,4.4,7039
B09FGNCB3G,"Soft Plastic Bass Fishing Lure 5.3"" Senko Style Worms-Salt Impregnation, Ribbed Design Slow Sinking Swimbaits",8.99,4.2,15
B095Y6QGRL,"50 Pcs Fishing Lures Fishing Accessories for Freshwater & Saltwater Gear, Eco-Friendly Soft Plastic Fishing Lures for Bass, Hook Slot, Fishing Lures Kit Proven Colors with Free Portable Box",9.99,4.2,77
B0B8RS5SS3,"Delong Lures 6"" Weedless KILR Worm for Bass, Pike, and Anything in Between, Soft Plastic Bass Fishing Lures Baits Tackle",17.99,4.2,179
B00EO96V6U,"Berkley PowerBait Power Nightcrawler Natural, 6"" (13 Count)",5.49,4.5,287
